# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.taskWaitingTotalTimeUs,1777032863004000000,1777032923020000000,846773
writeAction.max.wait.ms,1777032863004000000,1777032923020000000,273
parser.IgnoreLang.size.bytes,1777032863004000000,1777032923020000000,0
parser.Properties.size.bytes,1777032863004000000,1777032923020000000,233
lexer.Properties.time.ns,1777032863004000000,1777032923020000000,50230
lexer.Shell.Script.time.ns,1777032863004000000,1777032923020000000,2093604
DiskQueryRelay.tasksExecuted,1777032863004000000,1777032923020000000,2371
parser.CSS.time.ns,1777032863004000000,1777032923020000000,87218790
parser.HTML.size.bytes,1777032863004000000,1777032923020000000,8611
lexer.HTML.size.bytes,1777032863004000000,1777032923020000000,8611
parser.CSS.size.bytes,1777032863004000000,1777032923020000000,152353
parser.ECMAScript.6.size.bytes,1777032863004000000,1777032923020000000,1896358
lexer.CSS.size.bytes,1777032863004000000,1777032923020000000,152353
lexer.IgnoreLang.size.bytes,1777032863004000000,1777032923020000000,0
parser.IgnoreLang.time.ns,1777032863004000000,1777032923020000000,526957
parser.Markdown.size.bytes,1777032863004000000,1777032923020000000,13584
DiskQueryRelay.tasksRequested,1777032863004000000,1777032923020000000,3630
DiskQueryRelay.taskExecutionTotalTimeUs,1777032863004000000,1777032923020000000,571186
lexer.Properties.size.bytes,1777032863004000000,1777032923020000000,233
lexer.Markdown.time.ns,1777032863004000000,1777032923020000000,58918222
lexer.Flow.JS.size.bytes,1777032863004000000,1777032923020000000,167136
parser.JAVA.size.bytes,1777032863004000000,1777032923020000000,5064
lexer.Flow.JS.time.ns,1777032863004000000,1777032923020000000,1127793120
lexer.ECMAScript.6.time.ns,1777032863004000000,1777032923020000000,107676193
parser.Flow.JS.time.ns,1777032863004000000,1777032923020000000,359062444
parser.Shell.Script.size.bytes,1777032863004000000,1777032923020000000,8047
parser.HTML.time.ns,1777032863004000000,1777032923020000000,10222029
lexer.IgnoreLang.time.ns,1777032863004000000,1777032923020000000,16582
lexer.JAVA.size.bytes,1777032863004000000,1777032923020000000,5064
parser.Properties.time.ns,1777032863004000000,1777032923020000000,438532
parser.Flow.JS.size.bytes,1777032863004000000,1777032923020000000,167136
lexer.Shell.Script.size.bytes,1777032863004000000,1777032923020000000,8047
writeAction.median.wait.ms,1777032863004000000,1777032923020000000,400
writeAction.wait.ms,1777032863004000000,1777032923020000000,495
lexer.HTML.time.ns,1777032863004000000,1777032923020000000,9462922
parser.ECMAScript.6.time.ns,1777032863004000000,1777032923020000000,287211463
lexer.CSS.time.ns,1777032863004000000,1777032923020000000,39837193
parser.Markdown.time.ns,1777032863004000000,1777032923020000000,51869020
lexer.ECMAScript.6.size.bytes,1777032863004000000,1777032923020000000,492355
parser.JAVA.time.ns,1777032863004000000,1777032923020000000,31466521
lexer.JAVA.time.ns,1777032863004000000,1777032923020000000,1874892
LowMemory.gcOverloaded,1777032863004000000,1777032923020000000,0
writeAction.count,1777032863004000000,1777032923020000000,56
LowMemory.gcLoad,1777032863004000000,1777032923020000000,0.0
lexer.Markdown.size.bytes,1777032863004000000,1777032923020000000,13584
