# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleBridge.update.option.ms,1777032548232000000,1777032608443000000,0
jps.modifiable.module.model.bridge.disposing.ms,1777032548232000000,1777032608443000000,0
jps.global.get.library.by.name.ms,1777032548232000000,1777032608443000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1777032548232000000,1777032608443000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1777032548232000000,1777032608443000000,4
workspaceModel.moduleBridge.before.changed.ms,1777032548232000000,1777032608443000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1777032548232000000,1777032608443000000,0
jps.modifiable.module.model.bridge.new.module.ms,1777032548232000000,1777032608443000000,13
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777032548232000000,1777032608443000000,0
jps.app.storage.content.writer.save.component.ms,1777032548232000000,1777032608443000000,2
jps.modifiable.module.model.bridge.load.module.ms,1777032548232000000,1777032608443000000,0
jps.global.handle.changed.events.ms,1777032548232000000,1777032608443000000,0
jps.project.serializers.load.ms,1777032548232000000,1777032608443000000,6
jps.load.project.to.empty.storage.ms,1777032548232000000,1777032608443000000,53
workspaceModel.moduleBridgeLoader.loading.modules.ms,1777032548232000000,1777032608443000000,69
workspaceModel.sync.entities.ms,1777032548232000000,1777032608443000000,4
workspaceModel.load.cache.metadata.from.file.ms,1777032548232000000,1777032608443000000,0
workspaceModel.orphan.listener.update.ms,1777032548232000000,1777032608443000000,3
workspaceModel.mutableEntityStorage.entities.ms,1777032548232000000,1777032608443000000,2
jps.modifiable.module.model.bridge.renaming.ms,1777032548232000000,1777032608443000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777032548232000000,1777032608443000000,0
workspaceModel.global.apply.state.to.project.ms,1777032548232000000,1777032608443000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1777032548232000000,1777032608443000000,0
jps.library.entities.serializer.save.entities.ms,1777032548232000000,1777032608443000000,0
workspaceModel.load.cache.from.file.ms,1777032548232000000,1777032608443000000,0
workspaceModel.global.updates.ms,1777032548232000000,1777032608443000000,21
jps.facet.change.listener.process.change.events.ms,1777032548232000000,1777032608443000000,1
workspaceModel.save.cache.to.file.ms,1777032548232000000,1777032608443000000,80
workspaceModel.mutableEntityStorage.referrers.ms,1777032548232000000,1777032608443000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777032548232000000,1777032608443000000,0
jps.library.entities.serializer.load.entities.ms,1777032548232000000,1777032608443000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777032548232000000,1777032608443000000,4
workspaceModel.global.apply.state.to.project.builder.ms,1777032548232000000,1777032608443000000,8
workspaceModel.mutableEntityStorage.add.entity.ms,1777032548232000000,1777032608443000000,33
jps.save.global.entities.ms,1777032548232000000,1777032608443000000,16
workspaceModel.mutableEntityStorage.put.entity.ms,1777032548232000000,1777032608443000000,15
jps.app.storage.content.reader.load.component.ms,1777032548232000000,1777032608443000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1777032548232000000,1777032608443000000,0
jps.facet.change.listener.init.bridge.ms,1777032548232000000,1777032608443000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1777032548232000000,1777032608443000000,0
workspaceModel.updates.precise.ms,1777032548232000000,1777032608443000000,21
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1777032548232000000,1777032608443000000,104
workspaceModel.initializing.ms,1777032548232000000,1777032608443000000,4
workspaceModel.cachedValue.total.get.count,1777032548232000000,1777032608443000000,117
workspaceModel.collect.changes.ms,1777032548232000000,1777032608443000000,0
workspaceModel.updates.ms,1777032548232000000,1777032608443000000,84
workspaceModel.on.changed.ms,1777032548232000000,1777032608443000000,56
workspaceModel.on.before.changed.ms,1777032548232000000,1777032608443000000,50
workspaceModel.cachedValueWithParameters.from.cache.count,1777032548232000000,1777032608443000000,0
workspaceModel.update.unloaded.entities.ms,1777032548232000000,1777032608443000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1777032548232000000,1777032608443000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1777032548232000000,1777032608443000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1777032548232000000,1777032608443000000,12
workspaceModel.init.bridges.ms,1777032548232000000,1777032608443000000,6
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1777032548232000000,1777032608443000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1777032548232000000,1777032608443000000,42
workspaceModel.updates.count,1777032548232000000,1777032608443000000,8
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1777032548232000000,1777032608443000000,8
workspaceModel.workspaceFileIndexData.markDirty.ms,1777032548232000000,1777032608443000000,0
workspaceModel.loading.total.ms,1777032548232000000,1777032608443000000,25
workspaceModel.cachedValue.clear.count,1777032548232000000,1777032608443000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1777032548232000000,1777032608443000000,0
workspaceModel.to.snapshot.ms,1777032548232000000,1777032608443000000,0
workspaceModel.workspaceFileIndexData.instances.count,1777032548232000000,1777032608443000000,1
workspaceModel.check.recursive.update.ms,1777032548232000000,1777032608443000000,1
workspaceModel.cachedValueWithParameters.clear.count,1777032548232000000,1777032608443000000,0
workspaceModel.replace.project.model.ms,1777032548232000000,1777032608443000000,7
workspaceModel.cachedValue.from.cache.count,1777032548232000000,1777032608443000000,92
workspaceModel.workspaceFileIndexData.init.ms,1777032548232000000,1777032608443000000,2
workspaceModel.pre.handlers.ms,1777032548232000000,1777032608443000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1777032548232000000,1777032608443000000,333
workspaceModel.cachedValue.calculated.count,1777032548232000000,1777032608443000000,25
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1777032548232000000,1777032608443000000,7
workspaceModel.full.replace.project.model.ms,1777032548232000000,1777032608443000000,54
workspaceModel.loading.from.cache.ms,1777032548232000000,1777032608443000000,20
workspaceModel.workspaceFileIndexData.getPackageName.ms,1777032548232000000,1777032608443000000,4
FlushQueue.queueSizeAvg,1777032548232000000,1777032608443000000,1.1111111111111112
FlushQueue.executionTimeAvgNs,1777032548232000000,1777032608443000000,104544.0
FlushQueue.executionTime90PNs,1777032548232000000,1777032608443000000,238591
NonBlockingReadAction.failedExecutionsCount,1777032548232000000,1777032608443000000,2
FlushQueue.waitingTime90PNs,1777032548232000000,1777032608443000000,3178495
WriteAction.executionsCount,1777032548232000000,1777032608443000000,38
FlushQueue.waitingTimeMaxNs,1777032548232000000,1777032608443000000,3178495
FlushQueue.queueSizeMax,1777032548232000000,1777032608443000000,4
NonBlockingReadAction.failedExecutionTimeUs,1777032548232000000,1777032608443000000,13381
FlushQueue.waitingTimeAvgNs,1777032548232000000,1777032608443000000,2111032.888888889
FlushQueue.queueSize90P,1777032548232000000,1777032608443000000,4
NonBlockingReadAction.finalizedExecutionsCount,1777032548232000000,1777032608443000000,31
AWTEventQueue.dispatchTime90PNs,1777032548232000000,1777032608443000000,1499135
FlushQueue.tasksExecuted,1777032548232000000,1777032608443000000,9
ReadAction.executionsCount,1777032548232000000,1777032608443000000,106565
AWTEventQueue.dispatchTimeMaxNs,1777032548232000000,1777032608443000000,2408447
NonBlockingReadAction.finalizedExecutionTimeUs,1777032548232000000,1777032608443000000,56674
AWTEventQueue.dispatchTimeTotalNS,1777032548232000000,1777032608443000000,8415043697
AWTEventQueue.dispatchTimeAvgNs,1777032548232000000,1777032608443000000,404160.0
FlushQueue.executionTimeMaxNs,1777032548232000000,1777032608443000000,238591
AWTEventQueue.eventsDispatched,1777032548232000000,1777032608443000000,29
Indexing.writesQueuedAvg,1777032548232000000,1777032608443000000,594.0
Indexing.totalTimeIndexersSleptMs,1777032548232000000,1777032608443000000,0
Indexing.cache.totalCacheMisses,1777032548232000000,1777032608443000000,173663
Indexing.writer_0.totalTimeSpentWritingMs,1777032548232000000,1777032608443000000,1378
Indexing.writer_2.totalTimeSpentWritingMs,1777032548232000000,1777032608443000000,985
Indexing.writer_1.totalTimeSpentWritingMs,1777032548232000000,1777032608443000000,1333
Indexing.cache.totalCacheEvicted,1777032548232000000,1777032608443000000,97108
Indexing.cache.totalCacheAccesses,1777032548232000000,1777032608443000000,1763528
Indexing.writer_3.totalTimeSpentWritingMs,1777032548232000000,1777032608443000000,1495
Indexing.writesQueuedMax,1777032548232000000,1777032608443000000,594
Indexing.writesQueuedMin,1777032548232000000,1777032608443000000,594
JVM.GC.collections,1777032548232000000,1777032608443000000,78
JVM.totalTimeToSafepointsMs,1777032548232000000,1777032608443000000,83
JVM.committedHeapBytes,1777032548232000000,1777032608443000000,835715072
MEM.fileMappingsRamBytes,1777032548232000000,1777032608443000000,450326528
JVM.totalSafepointCount,1777032548232000000,1777032608443000000,151
OS.loadAverage,1777032548232000000,1777032608443000000,6.56494140625
JVM.threadCount,1777032548232000000,1777032608443000000,164
JVM.totalBytesAllocated,1777032548232000000,1777032608443000000,5275445960
JVM.newThreadsCount,1777032548232000000,1777032608443000000,216
JVM.maxThreadCount,1777032548232000000,1777032608443000000,164
JVM.maxHeapBytes,1777032548232000000,1777032608443000000,2147483648
JVM.usedHeapBytes,1777032548232000000,1777032608443000000,672859512
MEM.ramBytes,1777032548232000000,1777032608443000000,2232139776
MEM.ramPlusSwapMinusFileMappingsBytes,1777032548232000000,1777032608443000000,1769701376
MEM.ramMinusFileMappingsBytes,1777032548232000000,1777032608443000000,1769701376
JVM.totalCpuTimeMs,1777032548232000000,1777032608443000000,91650
JVM.totalDirectByteBuffersBytes,1777032548232000000,1777032608443000000,132145153
JVM.usedNativeBytes,1777032548232000000,1777032608443000000,444757120
JVM.GC.collectionTimesMs,1777032548232000000,1777032608443000000,443
JVM.totalTimeAtSafepointsMs,1777032548232000000,1777032608443000000,452
VFS.contentStorage.recordsStoredSize,1777032548232000000,1777032608443000000,245146
VFS.cache.directoriesCreated,1777032548232000000,1777032608443000000,4928
FileNameCache.totalMisses,1777032548232000000,1777032608443000000,14208
VFS.cache.segmentsCreated,1777032548232000000,1777032608443000000,180
VFS.folderCaseSensitivityReads,1777032548232000000,1777032608443000000,59
VFS.invertedFileNameIndex.requests,1777032548232000000,1777032608443000000,2
VFS.rootsCount,1777032548232000000,1777032608443000000,66.0
VFS.cache.filesCreated,1777032548232000000,1777032608443000000,46854
VFS.contentStorage.recordsReadDecompressed,1777032548232000000,1777032608443000000,3
VFS.fileChildByName,1777032548232000000,1777032608443000000,11035
VFS.contentStorage.recordsReadSize,1777032548232000000,1777032608443000000,62476
VFS.fileByIdCache.hits,1777032548232000000,1777032608443000000,6
VFS.contentStorage.recordsStored,1777032548232000000,1777032608443000000,18
VFS.cache.segments,1777032548232000000,1777032608443000000,174.0
VFS.fileByIdCache.misses,1777032548232000000,1777032608443000000,39
FileNameCache.queries,1777032548232000000,1777032608443000000,1639808
VFS.contentStorage.recordsDecompressionTimeUs,1777032548232000000,1777032608443000000,1785
VFS.contentStorage.recordsRead,1777032548232000000,1777032608443000000,14
VFS.contentStorage.recordsStoredCompressed,1777032548232000000,1777032608443000000,7
VFS.contentStorage.recordsUncompressedSize,1777032548232000000,1777032608443000000,531233
VFS.contentStorage.recordsDeduplicated,1777032548232000000,1777032608443000000,1
MappedFileStorage.totalBytesMapped,1777032548232000000,1777032608443000000,206831616
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777032548232000000,1777032608443000000,132136960
FilePageCache.maxRegisteredFiles,1777032548232000000,1777032608443000000,703
FilePageCache.pageHits,1777032548232000000,1777032608443000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1777032548232000000,1777032608443000000,547573
MappedFileStorage.totalTimeSpentOnMappingUs,1777032548232000000,1777032608443000000,132069
FilePageCache.uncachedFileAccess,1777032548232000000,1777032608443000000,480
StorageLockContext.competingThreads.90P,1777032548232000000,1777032608443000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777032548232000000,1777032608443000000,41959424
StorageLockContext.competingThreads.max,1777032548232000000,1777032608443000000,0
FilePageCache.maxCacheSizeInBytes,1777032548232000000,1777032608443000000,259014656
FilePageCache.pageFastCacheHits,1777032548232000000,1777032608443000000,198677
DirectByteBufferAllocator.hits,1777032548232000000,1777032608443000000,5
MappedFileStorage.totalPagesMapped,1777032548232000000,1777032608443000000,17
DirectByteBufferAllocator.disposed,1777032548232000000,1777032608443000000,249
DirectByteBufferAllocator.reclaimed,1777032548232000000,1777032608443000000,47
FilePageCache.capacityInBytes,1777032548232000000,1777032608443000000,629145600
FilePageCache.totalPageDisposalsUs,1777032548232000000,1777032608443000000,1275
MappedFileStorage.storages,1777032548232000000,1777032608443000000,17
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1777032548232000000,1777032608443000000,150754
StreamlinedBlobStorage.recordsDeleted,1777032548232000000,1777032608443000000,3
StorageLockContext.competingThreads.avg,1777032548232000000,1777032608443000000,0.0
StreamlinedBlobStorage.recordsAllocated,1777032548232000000,1777032608443000000,7190
FilePageCache.totalPageLoadsUs,1777032548232000000,1777032608443000000,380109
StreamlinedBlobStorage.recordsRelocated,1777032548232000000,1777032608443000000,0
FilePageCache.pageLoads,1777032548232000000,1777032608443000000,382
DirectByteBufferAllocator.misses,1777032548232000000,1777032608443000000,377
FileChannelInterruptsRetryer.totalRetriedAttempts,1777032548232000000,1777032608443000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1777032548232000000,1777032608443000000,0
FilePageCache.disposedBuffers,1777032548232000000,1777032608443000000,254
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1777032548232000000,1777032608443000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1777032548232000000,1777032608443000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1777032548232000000,1777032608443000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1777032548232000000,1777032608443000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1777032548232000000,1777032608443000000,0
compiler.ArtifactManagerBridge.commit.ms,1777032548232000000,1777032608443000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1777032548232000000,1777032608443000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1777032548232000000,1777032608443000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1777032548232000000,1777032608443000000,0
